Command, Label
Çizgi formasyonunu yap,Cizgi
V çiz,V
Ok başı yapıver,Ok başı
Üçgen olun,Üçgen
Çizgi çiz,Cizgi
V formasyonu oluştur,V
Ok başı şeklini çiziver ,Ok başı
Üçgen haline gelin,Üçgen
Çizgi oluştur,Cizgi
V şekli yap,V
Ok başı şekline bürün,Ok başı
Üç köşeli şekil oluşturun,Üçgen
Çizgi yapıver,Cizgi
V şeklini çiziver,V
Ok başı ol acele,Ok başı
Üçgen oluşturcak hizaya gelin,Üçgen
Oynayın voleybol,voleybol
Top oyna ,voleybol
Voleybolcu olun,voleybol
Voleybol formasyonunu gerçekleştirmeniz gerekiyor,voleybol
Voleybol oynamanızı istirham ediyorum,voleybol
çizgi formasyonu oluştur,Cizgi
V çiz,V
ters v formasyonu yap,Ok başı
üç köşeli bir şekil oluştur,Üçgen
çizgi formasyonu,Cizgi
sürü V formasyonu oluştursun,V
ok başı formasyonu yapılsın,Ok başı
sürü üçgen formasyonu oluştursun,Üçgen
sürü çizgi formasyonu oluştursun,Cizgi
v formasyonu yap,V
ters v formasyonu oluşturulsun,Ok başı
sürü üçgen şekli çizsin,Üçgen
dronelar çizgi formasyonu yaparsa oldukça müteşekkir olurum,Cizgi
droneların v oluşturmasını emrediyorum ,V
ok başı formasyonu yapmaya ne dersin ,Ok başı
dronelar üçgen olsun,Üçgen
dronelar voleybol oynasın,voleybol
voleybol oyna,voleybol
sürü voleybol oynasın,voleybol
sürüye voleybol oynat,voleybol
hadi voleybol oynayalım,voleybol
İHA'ları kullanarak bir çizgi çiz.,Cizgi
v,V
ters v,Ok başı
Üç kenarlı geometrik şekil çiz,Üçgen
Sürüye çizgi çizdirmesini sağla.,Cizgi
V çiz,V
Sürüyü kullanarak ok başı çiz,Ok başı
Güzel bir ÜÇGEN çiz,Üçgen
Tüm dronları kullanarak düz bir hat çiz,Cizgi
elindeki tüm ihalar ile v şeklini oluştur,V
İHA'larla ters v ok başı çiz,Ok başı
üç köşeli bir şey çiz,Üçgen
Aga dümdüz bi şekil yap bana,Cizgi
tüm gücünü ve zekanı kullanarak bir v harfi çiz,V
Ok attığını düşün ve okun başındaki şekli yap,Ok başı
dronelara üçlü çektirmek maksadıyla şekillendir,Üçgen
voleybol şovu yap,voleybol
sürü gösterisine başla,voleybol
tüm İHA'lar ile voleybol sürü gösterisi yap,voleybol
voleybol oyuncularını taklit edecek şekilde voleybol oyna,voleybol
Bir çizgi çiz,Cizgi
V şekli yarat,V
Ok başı formasyonu çiz.,Ok başı
Üçgen şekli yap,Üçgen
Bir çizgi oluştur.,Cizgi
V harfini oluştur.,V
Ok başı oluştur.,Ok başı
Üçgen şekli çiz,Üçgen
Bir çizgi yarat.,Cizgi
V şekli tasarla.,V
Ok başına şekli yap.,Ok başı
Üçgen oluştur.,Üçgen
Bır hat olustur,Cizgi
V yap bakayım,V
Ok başı yapsana,Ok başı
Ucgen cız.,Üçgen
Voleybol şekline geç,voleybol
Voleyboy oyna,voleybol
Voleybol moduna geç,voleybol
Voleybol maçı yapın,voleybol
Voleybol oynayin.,voleybol
Cizgi ciz.,Cizgi
V formunu olustur.,V
Ok basi cizdir,Ok başı
ucgen sekli ciz,Üçgen
Dronelar ile cizgi seklinde formasyon ciz.,Cizgi
Dronelar ile V formasyonu yap,V
Ok basi formasyonunu uygula,Ok başı
duzgun ucgen ciz,Üçgen
Dronelar ile cizgi cek.,Cizgi
Dronelar ile V formasyonunu gerceklestir.,V
Ok basi formunda sekil ciz.,Ok başı
ucgen formasyonunu ciz,Üçgen
Cabuk cizgi formasyonunu ciz.,Cizgi
formasyon V olustur hemen,V
Okun basi formasyonunu ciz lan.,Ok başı
Ucgen formasyonunu calistir canim.,Üçgen
Voleybol oynattir,voleybol
Dronelar ile voelybol uygula,voleybol
Voleybol formasyonunu ciz,voleybol
Voleybol turnuvasi formunu uygula,voleybol
Voleybol sampiyonasi formasyonunu uygula.,voleybol
Çizgi oluştur,Cizgi
V oluştur ,V
Ok başı yap,Ok başı
Üçgen hattı oluştur,Üçgen
Çizgi hattında  dizil,Cizgi
V hattında dizil,V
Ok başı istiyorum,Ok başı
Üçgen yap artık,Üçgen
Dronları çizgi şeklinde dizilir mi,Cizgi
Dronelar V yapsın,V
Ok başı dizil,Ok başı
Üçgen şeklinde dizil,Üçgen
Droneları çizgi hattında göster,Cizgi
V yapmanı bekliyorum,V
Ok başı olsa keşkle,Ok başı
Üçgen doğrusuna ddönüş,Üçgen
voleybol oyna ,voleybol
voleybol oynamanı istiyorum,voleybol
voleybol oyununa dönüş ,voleybol
Voleybol izleyebilir miyim,voleybol
Canım sıkıldı voleybol izlemek istiyorum,voleybol
Dronların çizgi üzerinde gitmesini istiyorum,Cizgi
V şeklinde uçun,V
Ters v uçuşa başlayın,Ok başı
Üçgen uçuş başlasın,Üçgen
Dronlar tek çizgi olarak uçsun,Cizgi
V uçuşa gilsin,V
Dronlar ok başı uçsun,Ok başı
Dronlarla üçgen çiz,Üçgen
Hat üzerinde uçun,Cizgi
Uçuşa v devam edin,V
Ok başı uçuşa geçin,Ok başı
İhalar üçgen uçsun,Üçgen
Hattı takip et,Cizgi
Hadi v uçuşu yapun,V
Dronlar bize nasıl ok başı uçtuğunuzu gösterin,Ok başı
İhalar üçgen uçuş gösterin,Üçgen
Voleybola başlayın,voleybol
İhalar voleybol oynasın,voleybol
Dronlar voleybol maçına başlasın,voleybol
Dronlar voleybol maçı için yerlerini alsın,voleybol
Bize güzel bi maç izletin ihalar,voleybol
dronelarla bir çizgi üzerinde hat oluştururu musun,Cizgi
V çizin dronelar lütfen,V
ok başı çizer misiniz dornelarla,Ok başı
üçgen şemalinde dizilin dronelar,Üçgen
keşkem dronelaerla doğrusal hat çizilse,Cizgi
V çiz,V
droneların ok başı şeklinde diizlmesini tanrıdan lütuf ediyorum,Ok başı
iç açıları toplamı 180 derece olan şekil gibi dizilsin dronelar,Üçgen
tanrıdan tek dileğim droneların bir doğru üzerinde yerleşip hat oluşturması,Cizgi
V şeklinde iki doğrudan oluşan hat çizin,V
bugünkü isteğim ok başı şeklinde dizilen dronelar,Ok başı
3 doğrunun kapalı bir şekil elde ettiği şekil olan üçgen şeklinde dizil,Üçgen
dronelar ilk hedefiniz bir doğru üzerinde yerleşip hat oluşturmak İLERİ,Cizgi
ben droneun V şeklinde hat oluşturanını severim,V
en güzel drone ok başı şeklinde dizilen dronedur,Ok başı
dronelar treeangula yani üçgen dizilin çabuk!!,Üçgen
 3 dronun var bir tanesi top 2 tanesi de topa vurur gibi yapmasını ve top bir drondan diğerini gidip geliyor gibi gözükmesini istiyorum,voleybol
voleybol oynayan dronelar istiyorun,voleybol
voleybol oynar mısınız dorencuklar,voleybol
voleybol oynayan dronelar istirham ediyorum,voleybol
keşke dronelar Vakıfbank fatma gibi voleybol oynasa,voleybol
2 noktayı birleştiren geometrik şekili andıran bir formasyon oluştur ,Cizgi
3 köşeli cisim oluştur ,Üçgen
Tek hizaya geç,Cizgi
V ol,V
Kalem ucu oluştur ,Ok başı
İç açıları 180 olan şekil oluştur ,Üçgen
Düz form oluştur,Cizgi
Doğru değil v sergile ,V
Sivri bir yapı oluştur ,Ok başı
Bütün bileşenlerin çizgiyle birbiriyle birleştirildiğinde köşe olmasın ,Cizgi
Zavallı şeyler arasında dar açı olacak ve tek noktada birleşen 2 doğru ,V
Dik büyüktür işareti oluştur ,Ok başı
En az kenara sahip çokgen oluştur kölem ,Üçgen
El topu oynayın ,voleybol
Birbirinizi birbirinize fırlatın ,voleybol
Birbirinizi toplayın,voleybol
Futbol oynayın ,voleybol
çizgi ol,Cizgi
v istiyorum,V
ok başı olunsun,Ok başı
üçgen göster,Üçgen
çizgi yapılsın,Cizgi
v ol,V
ok başı olun,Ok başı
üçgen şekline bürün,Üçgen
çizgi yapılır mı,Cizgi
v yapılsın,V
ok başı yapılacaktı,Ok başı
üçgen haline gel,Üçgen
çizgi gelir mi,Cizgi
dönerse senindir dönmezse v ol,V
daha ok başı olmadın mı?,Ok başı
"iç açıları toplamı 180 derece ,3 kenar 3 köşe şekline gel",Üçgen
voleybol haraketi,voleybol
voleybol oyna,voleybol
top oyna,voleybol
top oyunu oyna,voleybol
voleybol şovu yap ,voleybol
Çizgi formasyonu oluştur,Cizgi
v formayonunu yap,V
Ok başı şeklini İHA'ları kullanarak dizayn et.,Ok başı
üçgen oluştur.,Üçgen
Doğru şeklini yap.,Cizgi
İhalar ile v formayonu oluştur.,V
Ok başı formasyonu oluştur.,Ok başı
İHA'ları kullanarak üçgen çiz.,Üçgen
Line oluştur.,Cizgi
V şeklini drone'ları kullanarak oluştur.,V
Ters V formasyonunu oluşturur musun,Ok başı
Üçgen formasyonunu oluşturmanı istiyorum.,Üçgen
Kardeş çizgi çek,Cizgi
v formasyonu oluştur sana zahmet,V
V nin tersini yap,Ok başı
Üçgen formasyonu oluşturmak gerek.,Üçgen
Voleybol formasyonunu oluştur İHA'ları kullanarak ,voleybol
Voleybol oyna,voleybol
İHA'ları top yap voleybol oyna,voleybol
Voleybol formasyonunu oluştur,voleybol
Hadi voleybol oynayalım birlikte,voleybol
Düz bir çizgi çizer misin?,Cizgi
Drone'ları V şeklinin üzerine koyar mısınn,V
Rica etsem ok başı şeklinde bir duruş sergiler misin?,Ok başı
Üçgen yap.,Üçgen
Açısız düzgün bir çizgi istiyorum.,Cizgi
"V harfi şeklinde dursun dronelar, emrediyorum",V
Konumları ok başına benzeyecek şekilde drone koy.,Ok başı
Üçgen şeklinde bir formasyon oluşturabilir misin?,Üçgen
"Bir noktadan bir noktaya dümdüz bir çizgi çek, o çizgi üzerine drone'ları yerleştir.",Cizgi
V formasyonunu V harfi şeklinde 3 drone ile yapar mısın,V
Ok başı yap.,Ok başı
Bana bir üçgen çiziyormuşsun diye duydum.,Üçgen
Drone'ları düz çizgi üzerine sırayla koy.,Cizgi
"Misyonun dronelar ile V şekli yapmaktır, sana güveniyorum.",V
"Diriliş Ertuğrul'un okunun başı gibi bir formasyon oluşturasın, tez vakitte",Ok başı
"Üçgen diye bi şekil var ya, onun şeklini oluştur.",Üçgen
Dronelar voleybol oynasın.,voleybol
"3 drone varmış, biri durmuş, biri karşısına geçmiş, diğeri top olmuş.",voleybol
"Voleybol oynayan dronelar gerçek değildir, aksini kanıtla.",voleybol
"Sana 3 drone veriyorum, onları voleybol oynamaya ikna et.",voleybol
"Voleybol oynayan dronelar da vardır, görebilir miyim?",voleybol
çiz çizgiyi,Cizgi
v çizgisi çizmeye lütfeder misin,V
"ok başı , formasyon , gerçekleştir",Ok başı
üçgen formasyonunu gerçekleştirme görevini sana veriyorum,Üçgen
çizgiyi çizebilir misin,Cizgi
sana zahmet bir v çizgisinde drone lari hareket ettir ,V
gerçekleştirebilir misin ok başi formasyonunu,Ok başı
"görevin üçgen formasyonu, gerçekleştir.",Üçgen
Drone lari düzgün bir çizgi üzerinde hareket ettir ,Cizgi
"dronelar hareket etsin, v çizgisi şeklinde ",V
sana ters v formasyonunu çizmeni uygun gördüm,Ok başı
"yapacaksın, üçgen formasyonunu",Üçgen
çizgi algoritmasında drone ları uçur,Cizgi
v çizgisi operasyonunu tamamla doğrusuyla yanlışıyla bu operasyon yazılım ekibine aittir karar michael'ındır ,V
sen ki ters v formasyonunu gerçekleştireceksin,Ok başı
tabi sen benim tarafımdan sana verilen üçgen formasyonunu yerine getireceksin,Üçgen
şunu gerçekleştir: voleybol formasyonu,voleybol
şunun için sonuç bul : voleybol formasyonu,voleybol
düzgünce gerçeklestir voleybol formasyonu,voleybol
voleybol formasyonunu düzgünce yapabilir misin ,voleybol
ilk adimi servis olan spor dalının formasyonunu yap,voleybol
Çizgi çiz,Cizgi
V şeklini çiz,V
Ok çiz,Ok başı
Üçgen yap ,Üçgen
Çizgi formasyonu oluştur,Cizgi
V formastonunu oluşturmalısın,V
Ok şeklini oluştur,Ok başı
Üçgen şeklinin üzerine droneları yerleştir.,Üçgen
Dronelar çizdiğin çizgide hizalansın,Cizgi
Droneları V hattının üzerine koy,V
Ok başı yap,Ok başı
Üçgen hattı oluştur,Üçgen
Dronelar aynı çizgi hattında dursun,Cizgi
V yap,V
Ok başına droneları yerleştir,Ok başı
Üçgen yapıver,Üçgen
Voleybol oynar gibi droneları havada harket ettir. ,voleybol
Voleybol topunun harketine benzer hareketle droneları oynat,voleybol
Dronelara voleybol oynat,voleybol
Dronea voleybol topunun güzergahını taklit ettir,voleybol
Dronelar voleybol topu gibi ilerlesin,voleybol
Çizgi olun,Cizgi
V yapın,V
Ok başı formasyonu yapın,Ok başı
Üçgen formasyonu,Üçgen
Çizgiye geçin,Cizgi
V formasyonuna geçin,V
Ok şekline girin,Ok başı
Üçgen olun,Üçgen
Çizgi formasyonu yapın,Cizgi
V olun,V
Ok olun,Ok başı
Üçgen şekli yapın,Üçgen
Çizgi ol çizgi,Cizgi
"V yapamayan swarm kaybetmeye mahkumdur, kaybetmeyin",V
Ok ol ok ol ok ol,Ok başı
İç açıları toplamı 180° olan geometrik şekli oluşturun,Üçgen
Voleybol oynayan swarm formasyonuna gir,voleybol
Voleybol animasyonunu gerçekleştir,voleybol
Voleybol oynayın,voleybol
"Voleybol oynarmış gibi yapın, bir drone top olsun.",voleybol
Eda Erdem ve Vargas gibi voleybol oynayın,voleybol
Çizgi şeklinde hat oluştur ,Cizgi
V şeklini oluştur ,V
Ters V şekili oluştur ,Ok başı
Üçgen oluştur ,Üçgen
Sıraya geç ,Cizgi
V şeklinde sıralan,V
Ok başı şekli oluştur ,Ok başı
Üçgen cizi,Üçgen
Hatta yerleş,Cizgi
Dronlarla V oluşturacak şekilde dizil,V
V'yi ters olacak şekilde oluştur,Ok başı
Üçgen şekli oluştur ,Üçgen
Az git uz git dere tepe düz git,Cizgi
Ordan bi V gelir mi,V
Bir de ters V gelir mi,Ok başı
Üçgen alalım ,Üçgen
Voleybol oyununu taklit et,voleybol
Voleybol oyna,voleybol
Voleybol oyununu oyna ,voleybol
Voleybol oyunu şeklinde hareket et,voleybol
Ne bakıyon kardeş oyna,voleybol
Hat oluştur ,Cizgi
Dronlar V formasyonunu gerçekleştirsin,V
Dronlar ters V yapsin,Ok başı
Dronlar üçgen şekline gelsin,Üçgen
Çizgi ciz,Cizgi
V çizsin dronlar,V
Ok başı formasyonu gerçekleşsin ,Ok başı
Üçgen gibi olsun dronlar,Üçgen
Dronlar doğru olustursun,Cizgi
V şekli oluşsun ,V
Dronlar ok başı olsun,Ok başı
Dronlar üçgen benzeri bir şekil yapsinlar,Üçgen
Dronlar safları sıklaştırsın,Cizgi
V şekli oluştur bakalım hemennnn,V
Dronlar ok gibi olsun ,Ok başı
Sevgili dronlar üçgen olunuz ,Üçgen
Dronlar voleybol oynasınlar ,voleybol
Voleybol formasyonu gerceklessin,voleybol
Dronlar özgün kategori görevini yapsın ,voleybol
Dron top olsun ve voleybol oynasinlar,voleybol
Özel bir formasyon istiyom ismi voleyboldur,voleybol
Bir sıra oluşturun lütfen.,Cizgi
Aşağıya doğru ok çizin,Ok başı
Ters V formasyonu uygula,Ok başı
Üçgen formasyonunu uygula,Üçgen
Doğrusal çizgi çizin,Cizgi
Üçgen formasyonunu uygula,V
Ok ol,Ok başı
Üçgen halini al,Üçgen
Düz hat formasyonuna dizilin,Cizgi
V harfi gibi diziliin,V
V formasyonunun ters halini al,Ok başı
Üçgen ol,Üçgen
Sıra oluştur asker,Cizgi
Üçgen halini al la,V
Minimum köşeye sahip figüre dönüş,Üçgen
Voleybol maçı yap,voleybol
Volleyball gösterisi,voleybol
Voleybol yapsana,voleybol
Havada top oyna,voleybol
2 İHA diğerini döver gibi yapsın,voleybol
Lütfen düz bir çizgi çizer misin,Cizgi
V formasyonunu uygula,V
Ters v formasyonuna geçiş yapar mısın,Ok başı
Üçgen oluştur,Üçgen
Düz bir çizgi çiz,Cizgi
V şeklini al,V
Ters v şeklini alır mısın lütfen,Ok başı
Üçgen ol,Üçgen
Çizgi şekline geç,Cizgi
V hâline geç,V
OK başına geçer misin,Ok başı
Üçgen dizilimi yapar mısın,Üçgen
Çizgi şeklinde bir hat oluştur,Cizgi
Bebeğim v şekline geç,V
Cano OK başı formasyonu lütfen,Ok başı
Bir zahmet üçgen oluştur,Üçgen
Voleybol formasyonuna geçiş yap,voleybol
Voleybol oyna,voleybol
Voleybol maçı başlasın,voleybol
Voleybol formasyonunu uygula,voleybol
Beraber voleybol oynayalım mı,voleybol
Hizaya geç,Cizgi
Vadinin v’si formasyonuna geç,V
Ters v formasyonunu oluştur,Ok başı
Üçgen ol,Üçgen
Çizgi formasyonuna geç,Cizgi
Kuş göç formasyonunu oluştur,V
Ok başı formasyonuna geç ,Ok başı
Üçgen formasyonuna geç,Üçgen
Çizgi ol,Cizgi
V formasyonuna geç,V
Oka geç,Ok başı
Bermuda üçgeni formasyonunu gerçekleştir ,Üçgen
Düz durun,Cizgi
Ok ol da kalbime saplan,Ok başı
İç açıları toplamı 180 olan düzgün geometrik şekil ol,Üçgen
Özel görevi gerçekleştir,voleybol
Show time,voleybol
Voleybol formasyonuna geç,voleybol
Aranızda oynayıverin,voleybol
dronelar düz çizgi oluştursun,Cizgi
v yap,V
ters v çizilsin,Ok başı
üç köşeli bi şekil çiz,Üçgen
sürü çizgi çizsin,Cizgi
v formasyonu yap,V
dronelar ters v yapsın,Ok başı
üç kenarlı bi şekil oluştur,Üçgen
sürü doğru oluştursun,Cizgi
sürü v yapsın,V
sürü ters v çizsin,Ok başı
sürü üçgen yapsın,Üçgen
dronelar sadece 1 kenarı olan ve açısı her yerde sabit olan bir şekil oluştursun,Cizgi
v şekli peydah olsun,V
bi ok başı formasyonu patlar mı,Ok başı
üçgen ol,Üçgen
dronelar voleybol oynasın,voleybol
voleybol oynat,voleybol
voleybol formasyonu yapılsın,voleybol
dronelar gösteri yapsın,voleybol
dronelar voleybol oynamak yapsın,voleybol
çizgi formasyon oluştur doğruca,Cizgi
"V formasyonu , drone , uçmak oluşturmak ",V
ters v formasyonunu düzgün çalıştır,Ok başı
üçgen formasyonunu uygula ,Üçgen
linear şekilde çizgi formasyon oluşturur musun,Cizgi
"drone lar uçacak, v formasyonu şeklinde, oluştur ",V
ok başi formasyonunu drone lar için yapabilir misin ,Ok başı
iç açıları toplamı 180⁰ olan şekil formasyonunu uygulayabilir misin ,Üçgen
komut: doğru şekilde çizgi formasyon oluştur !,Cizgi
droneların uçması için v formasyonunu çalıştırmani emrediyorum ,V
3 drone u ok başı formasyonuyla uçur ,Ok başı
drone lar üçgen şeklinde uçurabilir misin ki ,Üçgen
0 hata payıyla drone ların uçması için çizgi algoritmasını uygula ,Cizgi
"komut benim emrimdir, o v formasyonu çalışacak, çalışacaksın ",V
"ok başı formasyonu yaydan çıkacak, çalıştır",Ok başı
haydi gari üçgen formasyonunu çalıştırıver,Üçgen
drone lar voleybol formasyonu şeklinde uçsun ,voleybol
"top, formasyon, voleybol, uç ",voleybol
voleybol oynayan drone lar yap,voleybol
Drone ların voleybol formasyonunda uçmasını sağla,voleybol
eda erdem in oynadığı spor' formasyonunu çalıştır ,voleybol
çizgi formasyonunu oluştur,Cizgi
v formasyonunu oluştur,V
ok başı formasyonunu oluştur,Ok başı
üçgen çiz bana,Üçgen
çizgi şeklini meydana getir,Cizgi
v şeklini meydana getir,V
ters v geometrisini oluştur,Ok başı
üçgen formasyonunu oluştururmusun,Üçgen
çizgiyi oluştur,Cizgi
v geometrisini oluştur,V
ok başı diğer adıyla ters v formasyonunu çiz,Ok başı
üçken şeklini oluştur,Üçgen
canımın içi şu çizgiyi çiziver be ,Cizgi
canım v formasyonunu oluştururmusun,V
sana emrediyorum ok başını tut,Ok başı
uşağum şu ucgeni oluştür daaa,Üçgen
valeybol oynarmısınız ,voleybol
volleyball oynarmısınız,voleybol
voleybol formasyonunu gerçekleştirin,voleybol
bir dronun top yerine geçtiği voleybol oyununu oynayın,voleybol
valleybol oynayınıverin,voleybol
çizgi haline geç,Cizgi
v şeklininde dizil,V
 ters v formu şeklinde dizil,Ok başı
üçgen forma geçer misiniz,Üçgen
bir çizgi oluşturur musun,Cizgi
V olacak biçimde konumlanın,V
ok başı şekli alacak biçimde dizilin,Ok başı
üçgen olacak sekilde dizilmelisiniz,Üçgen
doğru boyunca dizil,Cizgi
v formuna geç,V
ok ucu formuna geç,Ok başı
üçgen şeklini alın,Üçgen
doğru şekline geç,Cizgi
v olmanız lazim,V
tv formu zamanı,Ok başı
ucgen zamani,Üçgen
biriniz top olsun ikiniz karşılıklı dizilsin,voleybol
voleybol formu almalısınız,voleybol
 voleybola hazır hale geçin,voleybol
maç için konumlanın,voleybol
toplanın maç zamanı,voleybol
Dronelar çizgi çizsin,Cizgi
V çiz,V
Ok bası yap,Ok başı
Üçgen yap,Üçgen
İhalar duz çizgi oluştursun,Cizgi
V formasyonunu oluştur,V
Ok başı şekline geç,Ok başı
Üçgen çizerek uç,Üçgen
Düz çizgi çiz,Cizgi
V şeklinde dizilin,V
Ters V şekli yap,Ok başı
Üçgen çoz acil,Üçgen
Düz çizgi çizin ,Cizgi
V yap hemen,V
Ok gibi bir şekil çiz,Ok başı
İç açıları toplamı 180 olan bir şekil yap,Üçgen
Voleybol oyna,voleybol
İhalar birbirlerine pas atsınlar,voleybol
Voleybol oynayın,voleybol
Voleybol oynayan formasyon yap,voleybol
Voleybol oynamanız lazım acil,voleybol
Dronelar çizgi formasyonu oluştursunlar,Cizgi
Tüm dronelar v formasyonundaki yerini alsın,V
Tüm dronelar Ok başı formasyonundaki yerini alsın,Ok başı
Üçgen formasyonu oluşturulsun,Üçgen
Dronelar tek sıra halinde hizalansınlar,Cizgi
V formasyonu oluşturun,V
Tüm dronelar ters v formasyonundaki belirlenmiş yerine geçsin,Ok başı
Tüm dronelar üçgen formasyonundaki yerini alsın,Üçgen
Dronelar aynı doğru üzerine sıralansınlar,Cizgi
Dronelar v şeklinde hizalansın,V
Ok başı formasyonu oluştur,Ok başı
Dronelar üçgen formasyonunu yapın,Üçgen
Sıraya girin lan,Cizgi
Güzelim zahmet olmazsa şu v şeklini biz çizer misin,V
Ters v formasyonuna geçmeyenin pilini sökerim,Ok başı
Derhan üçgen ol,Üçgen
Dronelar voleybol oynasınlar ,voleybol
Voleybol formasyonuna geçilsin,voleybol
Dronelar Voleybol formasyonundaki görevlerini yapsınlar,voleybol
Voleybol formasyonu başlatılsın,voleybol
Hadi boleybol oynayalım çocuklar,voleybol
Dumduz cizgi seklinde ilerler,Cizgi
V seklini olustur ,V
Ok başı formasyonu olustur ,Ok başı
Üçgen yap,Üçgen
Düz bir sekilde siralan ve ilerle ,Cizgi
V formasyonunu olustur,V
Ters v seklini olustur,Ok başı
Üçgen formasyonu oluştur ,Üçgen
Dronelar cizgi cizsin,Cizgi
V yapisini olustur,V
Ok basi gibi v olustur,Ok başı
Üçgen seklini al,Üçgen
Cizgi çiz,Cizgi
V yap kardesim,V
Ok yap,Ok başı
Üçgen formasyonu olustur,Üçgen
Biriniz top olsun digerleri voleybol oynar gibi yapsin,voleybol
Voleybol formasyonu olustur,voleybol
Voleybol görüntüsü verin,voleybol
Voleybol oyna,voleybol
Voleybol oynar gibi hareket et,voleybol